-999,NA,US
-997,NA,OTHER-EEMEA
-888,NA,OTHER-EEMEA
-1,NA,US
0,NA,US
1,us,US
2,ca,CA
3,uk,UK
4,af,OTHER-EEMEA
5,al,OTHER-EEMEA
6,dz,OTHER-EEMEA
7,as,OTHER-EAPAC
8,ad,OTHER-EEMEA
9,ao,OTHER-EEMEA
10,ai,OTHER-EA
11,ag,OTHER-EA
12,ar,OTHER-EA
13,am,OTHER-EEMEA
14,aw,OTHER-EA
15,au,AU
16,at,AT
17,az,OTHER-EEMEA
18,bs,OTHER-EA
19,bh,OTHER-EEMEA
20,bd,OTHER-EAPAC
21,bb,OTHER-EA
22,by,OTHER-EEMEA
23,be,BE
24,bz,OTHER-EA
25,bj,OTHER-EEMEA
26,bm,OTHER-EA
27,bt,OTHER-EAPAC
28,bo,OTHER-EA
29,ba,OTHER-EEMEA
30,bw,OTHER-EEMEA
31,br,BR
32,vg,OTHER-EA
33,bn,OTHER-EAPAC
34,bg,OTHER-EEMEA
35,bf,OTHER-EEMEA
36,bu,OTHER-EAPAC
37,bi,OTHER-EEMEA
38,kh,OTHER-EAPAC
39,cm,OTHER-EEMEA
40,cv,OTHER-EEMEA
41,ky,OTHER-EA
42,cf,OTHER-EEMEA
43,td,OTHER-EEMEA
44,cl,OTHER-EA
45,cn,CN
46,co,OTHER-EA
47,km,OTHER-EEMEA
48,zr,OTHER-EEMEA
49,cg,OTHER-EEMEA
50,ck,OTHER-EAPAC
51,cr,OTHER-EA
52,ci,OTHER-EEMEA
53,hr,OTHER-EEMEA
54,cu,OTHER-EA
55,cy,OTHER-EEMEA
56,cz,CZ
57,dk,DK
58,dj,OTHER-EEMEA
59,dm,OTHER-EA
60,do,OTHER-EA
61,ec,OTHER-EA
62,eg,OTHER-EEMEA
63,sv,OTHER-EA
64,gq,OTHER-EEMEA
65,qq,OTHER-EEMEA
66,ee,OTHER-EEMEA
67,et,OTHER-EEMEA
68,fk,OTHER-EA
69,fj,OTHER-EAPAC
70,fi,OTHER-EEMEA
71,fr,FR
72,gf,OTHER-EA
73,pf,OTHER-EAPAC
74,ga,OTHER-EEMEA
75,gm,OTHER-EEMEA
76,ge,OTHER-EEMEA
77,de,DE
78,gh,OTHER-EEMEA
